src,dst,packets,duration,rate,mean,std,max,min,tcp,udp,dns,icmp,syn,ack,psh,fin,urg,rst,sport,dport
97.81.96.137,192.168.6.2,97290,1169.3104879998593,83.20287981545215,99.55002569637168,25.206677072472708,893,26,121,97169,0,0,0.1652892561983471,1.0,0.5289256198347108,0.1322314049586777,0.0,0.0,25093.0,18650.648864220373
97.81.96.137,192.168.2.2,95003,1318.5680099999981,72.05013262835045,123.9019294127554,22.365172849162153,672,26,559,94444,0,0,0.02146690518783542,1.0,0.6350626118067979,0.02146690518783542,0.0,0.0,25093.0,50079.63480100629
97.81.96.137,192.168.2.2,65901,752.7920660000002,87.54210223039198,124.82199056159997,24.137898211420943,672,26,263,65638,0,0,0.03802281368821293,1.0,0.44866920152091255,0.03802281368821293,0.0,0.0,25093.0,50066.27476062578
97.81.96.137,192.168.2.2,59680,696.7164669999866,85.65894854901019,110.37685991957105,26.385217683127244,668,26,70,59610,0,0,0.14285714285714285,1.0,0.42857142857142855,0.14285714285714285,0.0,0.0,25093.0,50045.900251340485
192.168.4.2,72.25.108.62,115764,88.03132499996416,1315.0318934770905,1421.3532877232992,117.39851253924623,1495,35,115763,1,0,0,1.727667734941216e-05,1.0,0.999913616613253,8.63833867470608e-06,0.0,0.0,49000.0,3344.6863014408623
192.168.4.2,72.25.108.62,114414,36.24387500000306,3156.781663108328,1421.483953012743,112.81330805593882,1495,408,114414,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,49000.0,3347.0
192.168.4.2,81.156.137.17,75418,21.35837899999749,3531.0732148731354,1441.2124426529476,69.09345359452068,1495,47,75416,2,0,0,2.651957144372547e-05,1.0,0.9998276227856158,3.97793571655882e-05,0.0,0.0,49000.0,65250.6858177093
81.156.137.17,192.168.4.2,74808,2033.3223919999812,36.7910176439943,48.47191476847396,24.527745318033386,745,35,74806,2,0,0,2.6735823329679438e-05,0.9999598962650055,0.002767157714621822,5.3471646659358877e-05,0.0,1.3367911664839719e-05,65249.84636669875,49000.0
72.25.108.62,192.168.4.2,59279,1775.3265770000205,33.390476303334985,44.794918942627234,65.67990811090988,605,35,59278,1,0,0,3.3739329936907456e-05,0.9999662606700631,0.020041161982523027,1.6869664968453728e-05,0.0,0.0,3344.851228934361,49000.0
72.25.108.62,192.168.4.2,58875,1554.524527000001,37.87331687433708,44.66433970276009,65.60207680334425,504,35,58875,0,0,0,0.0,1.0,0.01997452229299363,0.0,0.0,0.0,3347.0,49000.0
192.168.4.2,192.168.2.2,44174,7.299371999999166,6051.753493314911,41.99379725630461,50.35405406600518,1495,35,44032,142,0,0,0.0004087936046511628,0.9997274709302325,0.03928960755813953,0.00027252906976744186,0.0,4.5421511627906976e-05,51803.734776112644,3104.9128672975053
